order_id,customer,amount,ccy,trade_date,active
O00001,Initech,4739.85,USD,2026-01-12,True
O00002,Initech,2918.11,CHF,2026-04-11,True
O00003,Umbrella,2096.68,EUR,2026-02-27,False
O00004,ACME,4135.99,EUR,2026-04-28,True
O00005,Hooli,2931.85,EUR,2026-04-11,True
O00006,Initech,2101.5,CHF,2026-02-28,False
O00007,Hooli,4082.47,EUR,2026-02-28,True
O00008,Initech,496.18,CHF,2026-02-28,True
O00009,Hooli,1037.73,CHF,2026-09-23,False
O00010,Umbrella,2931.95,USD,2026-06-19,True
O00011,Globex,3497.98,EUR,2026-02-28,False
O00012,Hooli,2480.63,USD,2026-08-19,True
O00013,ACME,2564.54,EUR,2026-06-14,False
O00014,Umbrella,205.64,CHF,2026-02-27,False
O00015,Initech,3479.52,CHF,2026-08-28,False
O00016,ACME,4201.44,USD,2026-08-12,True
O00017,Initech,3239.17,CHF,2026-08-19,False
O00018,Initech,122.59,USD,2026-06-15,True
O00019,Umbrella,304.18,USD,2026-03-17,False
O00020,Umbrella,4584.91,USD,2026-02-15,False
O00021,Umbrella,2751.71,EUR,2026-07-27,False
O00022,Umbrella,4932.47,CHF,2026-07-17,True
O00023,ACME,889.33,EUR,2026-04-10,False
O00024,Hooli,919.89,USD,2026-01-14,False
O00025,Hooli,1852.58,CHF,2026-06-14,True
O00026,Umbrella,4498.67,CHF,2026-09-22,False
O00027,Umbrella,1976.66,USD,2026-07-11,True
O00028,ACME,4923.49,USD,2026-03-13,False
O00029,Hooli,272.35,EUR,2026-03-27,True
O00030,Initech,3072.55,EUR,2026-04-22,True
O00031,Initech,4777.79,CHF,2026-06-25,True
O00032,ACME,4246.2,USD,2026-08-25,False
O00033,ACME,729.15,CHF,2026-06-18,False
O00034,Globex,2586.51,EUR,2026-09-21,True
O00035,Hooli,4571.59,CHF,2026-05-12,False
O00036,Hooli,1839.83,EUR,2026-06-17,False
O00037,Globex,3070.01,EUR,2026-04-22,True
O00038,Globex,2593.02,USD,2026-01-10,False
O00039,Umbrella,1303.28,CHF,2026-06-24,False
O00040,Initech,411.89,EUR,2026-04-25,True
O00041,Initech,1029.82,CHF,2026-01-25,False
O00042,ACME,4174.9,EUR,2026-07-16,False
O00043,Globex,2175.29,CHF,2026-06-12,False
O00044,Umbrella,2012.92,EUR,2026-03-15,True
O00045,ACME,764.24,USD,2026-03-25,False
O00046,Globex,2747.81,EUR,2026-01-10,True
O00047,Hooli,3749.99,EUR,2026-07-16,True
O00048,ACME,1266.66,USD,2026-09-17,False
O00049,Initech,2726.32,EUR,2026-01-21,False
O00050,Hooli,4077.08,CHF,2026-07-26,True
O00051,Hooli,767.66,CHF,2026-01-24,True
O00052,Hooli,29.62,EUR,2026-03-14,False
O00053,Hooli,3628.71,CHF,2026-01-20,False
O00054,ACME,4417.31,EUR,2026-04-16,False
O00055,ACME,3863.58,CHF,2026-08-27,True
O00056,ACME,2221.81,CHF,2026-09-26,True
O00057,Initech,2267.21,CHF,2026-08-26,True
O00058,Hooli,4383.91,USD,2026-09-16,False
O00059,Globex,2089.02,USD,2026-08-20,True
O00060,Globex,2147.41,EUR,2026-05-13,True
O00061,Initech,723.47,EUR,2026-08-17,True
O00062,Umbrella,4425.82,EUR,2026-04-15,False
O00063,Hooli,2025.01,USD,2026-04-21,False
O00064,ACME,3613.53,EUR,2026-06-27,False
O00065,Umbrella,3518.73,USD,2026-06-26,False
O00066,Hooli,4804.27,EUR,2026-04-13,True
O00067,Initech,1366.88,EUR,2026-05-14,False
O00068,Initech,2035.68,CHF,2026-09-28,False
O00069,Initech,456.42,EUR,2026-03-23,True
O00070,Initech,4692.37,CHF,2026-02-18,True
O00071,Hooli,4282.58,EUR,2026-05-13,False
