OrderId,Customer,Amount,Currency,TradeDate,IsActive,Region
O00001,Initech,"4,739.85",USD,12/01/2026,Y,EU
O00002,Initech,"2,918.11",CHF,11/04/2026,Y,EU
O00003,Umbrella,"2,096.68",EUR,27/02/2026,N,EU
O00004,ACME,"4,135.99",EUR,28/04/2026,Y,US
O00005,Hooli,"2,931.85",EUR,11/04/2026,Y,EU
O00006,Initech,"2,101.50",CHF,28/02/2026,N,US
O00007,HOOLI,"4,082.47",EUR,28/02/2026,Y,EU
O00008,Initech,496.18,CHF,28/02/2026,Y,US
O00009,Hooli,"1,037.73",CHF,23/09/2026,N,US
O00010,UMBRELLA,"2,931.95",USD,19/06/2026,Y,US
O00011,Globex,"3,497.98",EUR,28/02/2026,N,US
O00012,Hooli,"2,480.63",USD,19/08/2026,Y,US
O00013,ACME,"2,564.54",EUR,14/06/2026,N,US
O00014,Umbrella,205.64,CHF,27/02/2026,N,EU
O00015,INITECH,"3,479.52",CHF,28/08/2026,N,EU
O00016,ACME,"4,201.44",USD,12/08/2026,Y,US
O00017,Initech,"3,239.17",CHF,19/08/2026,N,US
O00018,Initech,122.84,USD,15/06/2026,Y,US
O00019,Umbrella,304.18,USD,17/03/2026,N,EU
O00020,Umbrella,"4,588.99",USD,15/02/2026,N,US
O00021,Umbrella,"2,751.71",EUR,27/07/2026,N,US
O00022,Umbrella,"4,932.47",CHF,17/07/2026,Y,US
O00023,ACME,884.59,EUR,10/04/2026,N,EU
O00024,HOOLI,919.89,USD,14/01/2026,N,US
O00025,Hooli,"1,852.58",CHF,14/06/2026,Y,EU
O00026,Umbrella,"4,498.67",CHF,22/09/2026,N,US
O00027,Umbrella,"1,973.18",USD,11/07/2026,Y,US
O00028,ACME,"4,923.49",USD,13/03/2026,N,US
O00029,Hooli,272.35,EUR,27/03/2026,Y,US
O00030,Initech,"3,072.55",EUR,22/04/2026,Y,EU
O00031,Initech,"4,777.79",CHF,25/06/2026,Y,EU
O00032,ACME,"4,246.20",USD,25/08/2026,N,US
O00033,ACME,729.15,CHF,18/06/2026,N,EU
O00034,Globex,"2,586.51",EUR,21/09/2026,Y,US
O00035,Hooli,"4,571.59",CHF,12/05/2026,N,EU
O00036,Hooli,"1,839.83",EUR,17/06/2026,N,EU
O00037,Globex,"3,070.01",EUR,22/04/2026,Y,US
O00038,GLOBEX,"2,593.02",USD,10/01/2026,N,EU
